Ephemeris for Venus,,,,,,,
,DATE,,Rise,Culm,Set,Approx,Constellation
2024,May,22,05:13,11:59,18:45,-3.9,Taurus
2024,Jun,1,05:18,12:11,19:03,-3.9,Taurus
2024,Jun,8,05:23,12:20,19:16,-3.9,Taurus
2024,Jun,15,05:31,12:29,19:28,-3.9,Taurus
2024,Jun,22,05:40,12:39,19:38,-3.9,Gemini
2024,Jul,1,05:55,12:52,19:50,-3.9,Gemini
2024,Jul,8,06:07,13:02,19:56,-3.9,Gemini
2024,Jul,15,06:20,13:10,20:01,-3.9,Cancer
2024,Jul,22,06:33,13:18,20:03,-3.9,Cancer
2024,Aug,1,06:52,13:27,20:03,-3.9,Leo
2024,Aug,8,07:04,13:33,20:02,-3.9,Leo
2024,Aug,15,07:16,13:38,19:59,-3.9,Leo
2024,Aug,22,07:28,13:42,19:56,-3.9,Leo
2024,Sep,1,07:44,13:47,19:50,-3.9,Virgo
2024,Sep,8,07:56,13:50,19:45,-3.9,Virgo
2024,Sep,15,08:07,13:54,19:41,-3.9,Virgo
2024,Sep,22,08:19,13:58,19:37,-3.9,Virgo
2024,Oct,1,08:35,14:04,19:34,-3.9,Libra
2024,Oct,8,08:47,14:10,19:33,-4,Libra
2024,Oct,15,09:00,14:17,19:33,-4,Libra
2024,Oct,22,09:13,14:24,19:35,-4,Scorpius
2024,Nov,1,09:31,14:36,19:42,-4,Ophiuchus
2024,Nov,8,09:43,14:46,19:49,-4.1,Ophiuchus
2024,Nov,15,09:53,14:55,19:57,-4.1,Sagittarius
2024,Nov,22,10:01,15:04,20:07,-4.1,Sagittarius
2024,Dec,1,10:08,15:15,20:21,-4.2,Sagittarius
2024,Dec,8,10:11,15:22,20:33,-4.2,Capricornus
2024,Dec,15,10:12,15:28,20:44,-4.2,Capricornus
2024,Dec,22,10:10,15:32,20:54,-4.3,Capricornus
2025,Jan,1,10:03,15:35,21:06,-4.4,Aquarius
2025,Jan,8,09:56,15:35,21:14,-4.4,Aquarius
2025,Jan,15,09:46,15:33,21:19,-4.5,Aquarius
2025,Jan,22,09:35,15:29,21:22,-4.5,Aquarius
2025,Feb,1,09:15,15:19,21:23,-4.6,Pisces
2025,Feb,8,08:58,15:08,21:19,-4.6,Pisces
2025,Feb,15,08:38,14:54,21:11,-4.6,Pisces
2025,Feb,22,08:14,14:36,20:57,-4.6,Pisces
2025,Mar,1,07:45,14:11,20:36,-4.6,Pisces
2025,Mar,8,07:12,13:39,20:06,-4.4,Pisces
2025,Mar,15,06:35,13:01,19:27,-4.2,Pisces
2025,Mar,22,05:56,12:18,18:41,-4.1,Pisces
2025,Apr,1,05:05,11:20,17:35,-4.2,Pisces
2025,Apr,8,04:36,10:45,16:55,-4.4,Pisces
2025,Apr,15,04:12,10:19,16:25,-4.5,Pisces
2025,Apr,22,03:54,09:58,16:03,-4.5,Pisces
2025,May,1,03:36,09:40,15:45,-4.5,Pisces
2025,May,8,03:24,09:30,15:37,-4.5,Pisces
2025,May,15,03:14,09:23,15:32,-4.4,Pisces
2025,May,22,03:06,09:19,15:31,-4.4,Pisces
2025,Jun,1,02:55,09:14,15:33,-4.3,Pisces
2025,Jun,8,02:49,09:13,15:37,-4.3,Pisces
2025,Jun,15,02:44,09:13,15:42,-4.2,Aries
2025,Jun,22,02:40,09:14,15:48,-4.2,Aries
2025,Jul,1,02:37,09:18,15:58,-4.1,Taurus
2025,Jul,8,02:37,09:21,16:06,-4.1,Taurus
2025,Jul,15,02:38,09:26,16:15,-4.1,Taurus
2025,Jul,22,02:41,09:32,16:23,-4,Taurus
All times computed for New Delhi (latitude 28.64; longitude 77.22) and expressed in New Delhi time.,,,,,,,
Ephemeris computed by Dominic Ford.,,,,,,,
<https://in-the-sky.org/>,,,,,,,
