Ephemeris for Uranus,,,,,,,
,DATE,,Rise,Culm,Set,Approx,Constellation
2024,Apr,22,06:50,13:34,20:17,5.8,Aries
2024,May,1,06:17,13:00,19:44,5.9,Aries
2024,May,8,05:51,12:35,19:19,5.9,Aries
2024,May,15,05:24,12:09,18:53,5.9,Aries
2024,May,22,04:58,11:43,18:27,5.9,Taurus
2024,Jun,1,04:21,11:06,17:51,5.8,Taurus
2024,Jun,8,03:55,10:40,17:25,5.8,Taurus
2024,Jun,15,03:29,10:14,16:59,5.8,Taurus
2024,Jun,22,03:02,09:48,16:33,5.8,Taurus
2024,Jul,1,02:28,09:14,16:00,5.8,Taurus
2024,Jul,8,02:02,08:48,15:34,5.8,Taurus
2024,Jul,15,01:35,08:22,15:08,5.8,Taurus
2024,Jul,22,01:09,07:55,14:41,5.8,Taurus
2024,Aug,1,00:31,07:17,14:03,5.8,Taurus
2024,Aug,8,00:04,06:50,13:37,5.8,Taurus
2024,Aug,15,23:36,06:23,13:10,5.7,Taurus
2024,Aug,22,23:09,05:56,12:43,5.7,Taurus
2024,Sep,1,22:30,05:17,12:03,5.7,Taurus
2024,Sep,8,22:03,04:49,11:36,5.7,Taurus
2024,Sep,15,21:35,04:21,11:08,5.7,Taurus
2024,Sep,22,21:07,03:54,10:40,5.7,Taurus
2024,Oct,1,20:31,03:17,10:04,5.7,Taurus
2024,Oct,8,20:03,02:49,09:35,5.7,Taurus
2024,Oct,15,19:35,02:21,09:07,5.6,Taurus
2024,Oct,22,19:06,01:52,08:38,5.6,Taurus
2024,Nov,1,18:26,01:11,07:57,5.6,Taurus
2024,Nov,8,17:57,00:43,07:28,5.6,Taurus
2024,Nov,15,17:28,00:14,07:00,5.6,Taurus
2024,Nov,22,16:56,23:41,06:27,5.6,Taurus
2024,Dec,1,16:19,23:04,05:50,5.6,Taurus
2024,Dec,8,15:51,22:36,05:21,5.6,Taurus
2024,Dec,15,15:22,22:07,04:52,5.6,Taurus
2024,Dec,22,14:54,21:39,04:23,5.6,Taurus
2025,Jan,1,14:14,20:58,03:43,5.7,Taurus
2025,Jan,8,13:46,20:30,03:15,5.7,Aries
2025,Jan,15,13:18,20:02,02:47,5.7,Aries
2025,Jan,22,12:50,19:34,02:19,5.7,Aries
2025,Feb,1,12:11,18:55,01:39,5.7,Aries
2025,Feb,8,11:43,18:27,01:12,5.7,Aries
2025,Feb,15,11:16,18:00,00:45,5.7,Aries
2025,Feb,22,10:49,17:33,00:18,5.8,Aries
2025,Mar,1,10:22,17:06,23:51,5.8,Taurus
2025,Mar,8,09:55,16:40,23:24,5.8,Taurus
2025,Mar,15,09:28,16:13,22:58,5.8,Taurus
2025,Mar,22,09:01,15:46,22:32,5.8,Taurus
2025,Apr,1,08:24,15:09,21:54,5.8,Taurus
2025,Apr,8,07:57,14:43,21:28,5.8,Taurus
2025,Apr,15,07:31,14:17,21:02,5.8,Taurus
2025,Apr,22,07:05,13:51,20:37,5.8,Taurus
2025,May,1,06:31,13:17,20:04,5.8,Taurus
2025,May,8,06:05,12:51,19:38,5.8,Taurus
2025,May,15,05:39,12:26,19:12,5.8,Taurus
2025,May,22,05:13,12:00,18:47,5.8,Taurus
2025,Jun,1,04:36,11:23,18:10,5.8,Taurus
2025,Jun,8,04:09,10:57,17:44,5.8,Taurus
2025,Jun,15,03:43,10:31,17:19,5.8,Taurus
2025,Jun,22,03:17,10:05,16:53,5.8,Taurus
2025,Jul,1,02:43,09:31,16:20,5.8,Taurus
2025,Jul,8,02:17,09:05,15:54,5.8,Taurus
2025,Jul,15,01:50,08:39,15:27,5.8,Taurus
2025,Jul,22,01:24,08:13,15:01,5.8,Taurus
All times computed for New Delhi (latitude 28.64; longitude 77.22) and expressed in New Delhi time.,,,,,,,
Ephemeris computed by Dominic Ford.,,,,,,,
<https://in-the-sky.org/>,,,,,,,
