Ephemeris for Sun,,,,,,,,,,,,
,DATE,,Rise,Culm,Set,,Evening Twilight Ends,,,Morning Twilight Starts,,Constellation
2024,Feb,22,06:51,12:33,18:15,18:39,19:06,19:34,05:32,06:00,06:27,Aquarius
2024,Mar,1,06:44,12:32,18:20,18:44,19:11,19:39,05:25,05:52,06:20,Aquarius
2024,Mar,8,06:36,12:30,18:24,18:48,19:16,19:43,05:18,05:45,06:12,Aquarius
2024,Mar,15,06:28,12:28,18:29,18:52,19:20,19:47,05:10,05:37,06:05,Pisces
2024,Mar,22,06:20,12:26,18:33,18:56,19:24,19:52,05:01,05:29,05:56,Pisces
2024,Apr,1,06:08,12:23,18:38,19:02,19:30,19:58,04:49,05:17,05:45,Pisces
2024,Apr,8,06:01,12:21,18:42,19:06,19:34,20:03,04:40,05:08,05:37,Pisces
2024,Apr,15,05:53,12:19,18:46,19:10,19:39,20:08,04:31,05:00,05:29,Pisces
2024,Apr,22,05:46,12:18,18:50,19:15,19:44,20:14,04:22,04:52,05:21,Aries
2024,May,1,05:38,12:16,18:55,19:21,19:50,20:21,04:12,04:43,05:12,Aries
2024,May,8,05:32,12:16,19:00,19:25,19:56,20:27,04:05,04:36,05:07,Aries
2024,May,15,05:27,12:16,19:04,19:30,20:01,20:33,03:58,04:31,05:02,Taurus
2024,May,22,05:24,12:16,19:08,19:34,20:06,20:39,03:53,04:26,04:58,Taurus
2024,Jun,1,05:21,12:17,19:14,19:40,20:12,20:47,03:48,04:22,04:54,Taurus
2024,Jun,8,05:20,12:18,19:17,19:44,20:16,20:51,03:46,04:20,04:53,Taurus
2024,Jun,15,05:20,12:20,19:20,19:47,20:19,20:54,03:45,04:20,04:53,Taurus
2024,Jun,22,05:21,12:21,19:21,19:48,20:21,20:56,03:46,04:21,04:54,Gemini
2024,Jul,1,05:24,12:23,19:22,19:49,20:22,20:56,03:50,04:24,04:57,Gemini
2024,Jul,8,05:27,12:24,19:22,19:48,20:21,20:55,03:53,04:28,05:00,Gemini
2024,Jul,15,05:30,12:25,19:20,19:46,20:18,20:52,03:58,04:32,05:04,Gemini
2024,Jul,22,05:34,12:26,19:17,19:43,20:15,20:48,04:03,04:36,05:08,Cancer
2024,Aug,1,05:39,12:26,19:11,19:37,20:07,20:39,04:11,04:43,05:14,Cancer
2024,Aug,8,05:43,12:25,19:06,19:31,20:01,20:32,04:17,04:48,05:18,Cancer
2024,Aug,15,05:47,12:24,19:00,19:25,19:54,20:24,04:22,04:53,05:22,Leo
2024,Aug,22,05:51,12:22,18:53,19:17,19:46,20:16,04:28,04:58,05:26,Leo
2024,Sep,1,05:56,12:19,18:42,19:06,19:34,20:03,04:35,05:04,05:32,Leo
2024,Sep,8,06:00,12:17,18:34,18:58,19:26,19:54,04:39,05:08,05:36,Leo
2024,Sep,15,06:03,12:14,18:25,18:49,19:17,19:45,04:44,05:12,05:39,Leo
2024,Sep,22,06:07,12:12,18:17,18:41,19:08,19:36,04:48,05:15,05:43,Virgo
2024,Oct,1,06:11,12:09,18:06,18:30,18:57,19:25,04:53,05:20,05:47,Virgo
2024,Oct,8,06:15,12:07,17:58,18:22,18:49,19:17,04:56,05:24,05:51,Virgo
2024,Oct,15,06:19,12:05,17:51,18:14,18:42,19:09,05:00,05:28,05:55,Virgo
2024,Oct,22,06:23,12:04,17:44,18:08,18:35,19:03,05:04,05:32,05:59,Virgo
2024,Nov,1,06:30,12:03,17:35,17:59,18:27,18:55,05:10,05:38,06:06,Libra
2024,Nov,8,06:35,12:03,17:30,17:55,18:23,18:51,05:14,05:42,06:11,Libra
2024,Nov,15,06:41,12:04,17:26,17:51,18:20,18:48,05:19,05:47,06:16,Libra
2024,Nov,22,06:46,12:05,17:24,17:49,18:18,18:47,05:24,05:52,06:21,Libra
2024,Dec,1,06:54,12:08,17:23,17:48,18:18,18:46,05:30,05:59,06:28,Ophiuchus
2024,Dec,8,06:59,12:11,17:23,17:49,18:19,18:47,05:35,06:03,06:33,Ophiuchus
2024,Dec,15,07:03,12:14,17:25,17:51,18:21,18:50,05:39,06:08,06:37,Ophiuchus
2024,Dec,22,07:07,12:18,17:28,17:54,18:24,18:53,05:43,06:12,06:41,Sagittarius
2025,Jan,1,07:11,12:23,17:34,18:00,18:30,18:59,05:47,06:16,06:45,Sagittarius
2025,Jan,8,07:12,12:26,17:39,18:05,18:34,19:03,05:49,06:17,06:47,Sagittarius
2025,Jan,15,07:12,12:28,17:45,18:11,18:40,19:08,05:49,06:18,06:47,Sagittarius
2025,Jan,22,07:11,12:31,17:51,18:16,18:45,19:13,05:48,06:17,06:46,Capricornus
2025,Feb,1,07:07,12:33,17:59,18:24,18:52,19:20,05:46,06:14,06:42,Capricornus
2025,Feb,8,07:02,12:33,18:05,18:29,18:57,19:25,05:42,06:10,06:38,Capricornus
2025,Feb,15,06:57,12:33,18:10,18:34,19:02,19:30,05:37,06:05,06:33,Capricornus
2025,Feb,22,06:51,12:33,18:15,18:39,19:07,19:34,05:32,05:59,06:27,Aquarius
2025,Mar,1,06:44,12:32,18:20,18:44,19:11,19:39,05:25,05:52,06:20,Aquarius
2025,Mar,8,06:36,12:30,18:24,18:48,19:15,19:43,05:18,05:45,06:13,Aquarius
2025,Mar,15,06:28,12:28,18:28,18:52,19:19,19:47,05:10,05:37,06:05,Pisces
2025,Mar,22,06:20,12:26,18:32,18:56,19:24,19:51,05:01,05:29,05:57,Pisces
2025,Apr,1,06:09,12:23,18:38,19:02,19:30,19:58,04:49,05:17,05:45,Pisces
2025,Apr,8,06:01,12:21,18:42,19:06,19:34,20:03,04:40,05:09,05:37,Pisces
2025,Apr,15,05:53,12:19,18:46,19:10,19:39,20:08,04:31,05:00,05:29,Pisces
2025,Apr,22,05:46,12:18,18:50,19:14,19:44,20:13,04:23,04:52,05:21,Aries
2025,May,1,05:38,12:16,18:55,19:20,19:50,20:21,04:12,04:43,05:13,Aries
2025,May,8,05:32,12:16,19:00,19:25,19:55,20:27,04:05,04:36,05:07,Aries
2025,May,15,05:27,12:15,19:04,19:30,20:01,20:33,03:59,04:31,05:02,Taurus
2025,May,22,05:24,12:16,19:08,19:34,20:06,20:39,03:53,04:26,04:58,Taurus
2025,Jun,1,05:21,12:17,19:13,19:40,20:12,20:46,03:48,04:22,04:54,Taurus
2025,Jun,8,05:20,12:18,19:17,19:44,20:16,20:51,03:46,04:20,04:53,Taurus
2025,Jun,15,05:20,12:20,19:19,19:46,20:19,20:54,03:45,04:20,04:53,Taurus
2025,Jun,22,05:21,12:21,19:21,19:48,20:21,20:56,03:46,04:21,04:54,Gemini
2025,Jul,1,05:24,12:23,19:22,19:49,20:22,20:56,03:49,04:24,04:57,Gemini
2025,Jul,8,05:26,12:24,19:22,19:48,20:21,20:55,03:53,04:27,05:00,Gemini
2025,Jul,15,05:30,12:25,19:20,19:47,20:18,20:52,03:58,04:31,05:03,Gemini
2025,Jul,22,05:34,12:26,19:17,19:43,20:15,20:48,04:03,04:36,05:07,Cancer
All times computed for New Delhi (latitude 28.64; longitude 77.22) and expressed in New Delhi time.,,,,,,,,,,,,
Ephemeris computed by Dominic Ford.,,,,,,,,,,,,
<https://in-the-sky.org/>,,,,,,,,,,,,
